epoch,boundary_boundary_f1,boundary_loss,center_loss,learning_rate,loss,offset_loss,semantic_foreground_miou,semantic_iou_circle,semantic_iou_circle_full,semantic_iou_rectangle,semantic_iou_rectangle_concave,semantic_loss,semantic_mean_iou,semantic_pixel_accuracy,val_boundary_boundary_f1,val_boundary_loss,val_center_loss,val_loss,val_offset_loss,val_semantic_foreground_miou,val_semantic_iou_circle,val_semantic_iou_circle_full,val_semantic_iou_rectangle,val_semantic_iou_rectangle_concave,val_semantic_loss,val_semantic_mean_iou,val_semantic_pixel_accuracy
0,0.15430502593517303,0.7087894678115845,15.033327102661133,3.7500001781154424e-05,16.27099609375,0.0964447483420372,0.08740347623825073,0.0224051084369421,0.06901845335960388,0.23139765858650208,0.02679263986647129,0.8065752387046814,0.21937772631645203,0.7040067911148071,0.12188203632831573,0.7657704949378967,3.446549892425537,4.625471591949463,0.05975755676627159,0.07090651988983154,0.029766475781798363,0.040231432765722275,0.18371766805648804,0.029910573735833168,0.7829764485359192,0.21281889081001282,0.7212769985198975
1,0.32998713850975037,0.6018251180648804,2.362454891204834,7.500000356230885e-05,3.371999979019165,0.04855106398463249,0.1417107731103897,0.05502672865986824,0.1485561728477478,0.30757126212120056,0.05568907409906387,0.6955427527427673,0.28097638487815857,0.7750685811042786,0.31760042905807495,0.6578799486160278,2.0788652896881104,3.0790164470672607,0.027854906395077705,0.15829850733280182,0.08584361523389816,0.153916597366333,0.23114286363124847,0.16229096055030823,0.6952158808708191,0.2954685688018799,0.7717720866203308
2,0.452905535697937,0.5113653540611267,1.919779658317566,0.00011249999806750566,2.7686362266540527,0.03844555839896202,0.24715104699134827,0.14317721128463745,0.3320826292037964,0.36431705951690674,0.14902755618095398,0.5868571996688843,0.37140899896621704,0.8096834421157837,0.48045414686203003,0.5387024283409119,1.5699896812438965,2.396094799041748,0.018951164558529854,0.25268036127090454,0.24324846267700195,0.3009592592716217,0.2686343491077423,0.197879359126091,0.5821976065635681,0.3758540451526642,0.8071080446243286
3,0.5164353847503662,0.4556560814380646,1.6065270900726318,0.0001500000071246177,2.3071835041046143,0.034092068672180176,0.3698703944683075,0.27222999930381775,0.5073912143707275,0.4471016824245453,0.252758651971817,0.4673483669757843,0.4742772579193115,0.8475452065467834,0.5617696642875671,0.4636974036693573,1.3188368082046509,1.9848939180374146,0.015150529332458973,0.3728080987930298,0.46900591254234314,0.48715123534202576,0.3332793414592743,0.20179606974124908,0.45785459876060486,0.4773257374763489,0.8569915294647217
4,0.5459914207458496,0.42433810234069824,1.4248534440994263,0.0001875000016298145,2.026890516281128,0.031027838587760925,0.4499537944793701,0.3758790194988251,0.5906597375869751,0.5261465907096863,0.3071298897266388,0.3857985734939575,0.5420263409614563,0.8751271367073059,0.5994788408279419,0.4214397966861725,1.157761573791504,1.713624119758606,0.012883919291198254,0.46743282675743103,0.615615725517273,0.5684530138969421,0.4126569628715515,0.2730056941509247,0.36796072125434875,0.5559313297271729,0.8874157071113586
5,0.5682235956192017,0.40149378776550293,1.3018310070037842,0.00022499999613501132,1.8335102796554565,0.02721313014626503,0.5210540294647217,0.5224177241325378,0.6281567811965942,0.5872464776039124,0.34639525413513184,0.3302208483219147,0.6012430191040039,0.8953696489334106,0.6246473789215088,0.38993099331855774,1.0342991352081299,1.523962378501892,0.010434247553348541,0.5219320058822632,0.6693750023841858,0.6128590106964111,0.48403841257095337,0.3214556872844696,0.31804001331329346,0.6013288497924805,0.9032905697822571
6,0.5834206938743591,0.3873007893562317,1.1965323686599731,0.0002624999906402081,1.6726233959197998,0.02349856309592724,0.5827693939208984,0.6242561936378479,0.6612421274185181,0.6348600387573242,0.41071927547454834,0.28567150235176086,0.6522756814956665,0.9102692008018494,0.6452364921569824,0.3680403530597687,0.9628189206123352,1.413088321685791,0.009071742184460163,0.5614116787910461,0.6952210068702698,0.6571696996688843,0.5215581655502319,0.3716977536678314,0.28944653272628784,0.6338759660720825,0.9125580191612244
7,0.5989102721214294,0.3716652989387512,1.097949743270874,0.0003000000142492354,1.5278737545013428,0.020617812871932983,0.6195193529129028,0.6517203450202942,0.6997048854827881,0.678808331489563,0.44784417748451233,0.25046321749687195,0.6831332445144653,0.9211516380310059,0.66096431016922,0.35019832849502563,0.9187701344490051,1.3339142799377441,0.008320449851453304,0.5881602168083191,0.7308740615844727,0.6769224405288696,0.5515287518501282,0.3933154344558716,0.26258331537246704,0.6568486094474792,0.9212489724159241
8,0.6094684600830078,0.3605092763900757,0.9970602989196777,0.0003000000142492354,1.3859792947769165,0.01853419654071331,0.6717826724052429,0.7204385995864868,0.7404797077178955,0.7171599864959717,0.5090526342391968,0.21782706677913666,0.7258306741714478,0.9319296479225159,0.6705117225646973,0.3399856984615326,0.7860321998596191,1.173974633216858,0.00786539539694786,0.6329353451728821,0.7745426297187805,0.6783467531204224,0.5905628800392151,0.4882889986038208,0.24014975130558014,0.6940556764602661,0.9305598735809326
9,0.6212798953056335,0.3483412265777588,0.8803157806396484,0.0002999951830133796,1.2267258167266846,0.0161812175065279,0.7187597155570984,0.7521193623542786,0.7785487771034241,0.7633973360061646,0.580973207950592,0.18272089958190918,0.7645208239555359,0.9421692490577698,0.6788736581802368,0.3324826955795288,0.7425191402435303,1.1210023164749146,0.007464258000254631,0.6524030566215515,0.8056409955024719,0.6877381205558777,0.6100204586982727,0.5062127113342285,0.2342941015958786,0.7100096344947815,0.9346356987953186
